,model.Group,model.Type,model.Biomass,model.PB,model.QB,model.EE,model.ProdCons,model.BioAcc,model.Unassim,model.DetInput,model.Discard,model.Detritus.POC,model.Fishery,model.Fishery.disc,diet.Group,diet.Phytoplankton..Primary.Producers,diet.Bacteria,diet.Microzooplankton,diet.Small.copepods,diet.Large.Copepods,diet.Gelatinous.Zooplankton,diet.Micronekton,diet.Macrobenthos..polychaetes,diet.Macrobenthos..crustaceans,diet.Macrobenthos..molluscs,diet.Macrobenthos..other,diet.Megabenthos..filterers,diet.Megabenthos..other,diet.Shrimp.et.al.,diet.Larval.juv.fish..all,diet.Small.Pelagics..commercial,diet.Small.Pelagics..other,diet.Small.Pelagics..squid,diet.Small.Pelagics..anadromous,diet.Medium.Pelagics...piscivores...other.,diet.Demersals..benthivores,diet.Demersals..omnivores,diet.Demersals..piscivores,diet.Sharks..pelagics,diet.HMS,diet.Pinnipeds,diet.Baleen.Whales,diet.Odontocetes,diet.Sea.Birds,stanzas.NStanzaGroups,stanzas.stgroups.StGroupNum,stanzas.stgroups.StanzaGroup,stanzas.stgroups.nstanzas,stanzas.stgroups.VBGF_Ksp,stanzas.stgroups.VBGF_d,stanzas.stgroups.Wmat,stanzas.stgroups.RecPower,stanzas.stindiv.StGroupNum,stanzas.stindiv.StanzaNum,stanzas.stindiv.GroupNum,stanzas.stindiv.Group,stanzas.stindiv.First,stanzas.stindiv.Last,stanzas.stindiv.Z,stanzas.stindiv.Leading,pedigree.Group,pedigree.Biomass,pedigree.PB,pedigree.QB,pedigree.Diet,pedigree.Fishery
11,Macrobenthos- other,0,24.936,2.04,11.777,NA,NA,0,0.5,NA,0,1,0,0.000724,Macrobenthos- other,0,0,0,0,0.001748159,0,0,0.02106318,0.1346288,0.022337,0.0363167,0,0.2375813,0.1048391,0.02096442,0.01121766,0.002212085,0.01676727,0,0.01226363,0.1844322,0.1109106,0.1091925,0.01113548,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrobenthos- other,1,1,1,1,1
12,Megabenthos- filterers,0,2.879,0.864,10,NA,NA,0,0.7,NA,0,1,0.0917,0.0302,Megabenthos- filterers,0,0,0,0,0,0,0,0.001053159,0.004799868,0.002984548,0.001145771,0,0.009741648,0,0,0,0,0,0,0,0.05240696,0.04041656,0.01101942,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Megabenthos- filterers,1,1,1,1,1
13,Megabenthos- other,0,3.505,1.68,11.03,NA,NA,0,0.3,NA,0,1,0.345,0.104,Megabenthos- other,0,0,0,0,0,0,0,0.001404212,0.004421631,0.000735662,0.006267365,0,0.04154278,0,0,0,0,0,0,0.1941741,0.09574349,0.1109106,0.02203885,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Megabenthos- other,1,1,1,1,1
14,Shrimp et al.,0,0.396,2,5,NA,NA,0,0.3,NA,0,1,0.0622,0.0195,Shrimp et al.,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001258382,0,0,0,0.02361985,0,0.01720621,0.01696089,0.003024275,0.1207828,0,0,0.00313569,0,0.000274618,0.02157306,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shrimp et al.,1,1,1,1,1
15,Larval-juv fish- all,0,0.207,15,45,NA,NA,0,0.15,NA,0,1,0,2.65E-09,Larval-juv fish- all,0,0,0,0,0,0.004059562,0,0,0,0,0,0,0,0,0.0747728,0.1080974,0.00738653,0.1676727,0.005938409,0.01226363,0,0.01127904,0.01101942,0,0,0,0,0,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Larval-juv fish- all,1,1,1,1,1
16,Small Pelagics- commercial,0,5.714,0.52,1.882,NA,NA,0,0.15,NA,0,1,0.874,0.131,Small Pelagics- commercial,0,0,0,0,0,0.000358531,0,0,0,0,0,0,0,0,0,0,0,0.0075355,0,0.3638209,0.04829028,0.04365378,0.2704768,0.2338451,0.1801901,0.1359761,0.1550972,0.2288119,0.3118983,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Small Pelagics- commercial,1,1,1,1,1
17,Small Pelagics- other,0,1.275,0.44,2,NA,NA,0,0.35,NA,0,1,1.51E-05,0.000156,Small Pelagics- other,0,0,0,0,0,0.000454902,0,0,0,0,0,0,0,0,0,0,0,0.007557068,0,0.03679087,0.002015652,0.001879841,0.0560989,0.05567741,0.7006319,0.256553,0.08101361,0.06583849,0.2684838,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Small Pelagics- other,1,1,1,1,1
18,Small Pelagics- squid,0,0.29,1.4,2,NA,NA,0,0.15,NA,0,1,0.0138,0.000562,Small Pelagics- squid,0,0,0,0,0,9.18E-05,0,0,0,0,0,0,0,0,0,0,0,0.02131235,0,0.02591145,0.003626702,0.001691515,0.04413503,0.1781677,0.02480174,0.06566829,0.03142953,0.3652223,0.03182262,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Small Pelagics- squid,1,1,1,1,1
19,Small Pelagics- anadromous,0,0.153,0.437,2,NA,NA,0,0.15,NA,0,1,0.00561,0.0167,Small Pelagics- anadromous,0,0,0,0,0,4.37E-05,0,0,0,0,0,0,0,0,0,0,0,0.001007609,0,0.01925174,0,0,0.001604244,0.02227096,0,0,0,0,0.02017987,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Small Pelagics- anadromous,1,1,1,1,1
20,Medium Pelagics- (piscivores & other),0,0.0229,0.649,1.428,NA,NA,0,0.15,NA,0,1,0.0101,0.00303,Medium Pelagics- (piscivores & other),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000721882,0,0,0,0.031213,0,0,0,0,0.000353094,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium Pelagics- (piscivores & other),1,1,1,1,1
