PYNAM,PYCOMNAM,PYSPP,PYABBR,MODCAT,GENCAT,GenSci,GenCom,ANALCAT,AnalSci,AnalCom,COLLCAT,CollSci,Collcom
OPHELINA SP,,2.14E+14,OPHES1,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
OPHELINA AULOGASTER,,2.14E+14,OPHAUL,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
OPHELINA ACUMINATA,,2.14E+14,OPHACU,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
TRAVISIA SP,,2.14E+14,TRAVSP,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
TRAVISIA CARNEA,,2.14E+14,TRACAR,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
TRAVISIA FORBESII,,2.14E+14,TRAFOR,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
SCALIBRAGMATIDAE,,2.14E+14,SCAFA2,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
SCALIBREGMA SP,,2.14E+14,SCALSP,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
SCALIBREGMA INFLATUM,,2.14E+14,SCAINF,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
COSSURA SP,,2.14E+14,COSSSP,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
ORBINIIDA,,2.14E+14,ORBINI,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
ORBINIIDAE,,2.14E+14,ORBFAM,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
ORBINIA ORNATA,,2.14E+14,ORBORN,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
SCOLOPLOS SP,,2.14E+14,SCOLS2,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
