PYNAM,PYCOMNAM,PYSPP,PYABBR,MODCAT,GENCAT,GenSci,GenCom,ANALCAT,AnalSci,AnalCom,COLLCAT,CollSci,Collcom
CASCO BIGELOWI,,4.11E+14,CASBIG,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
GAMMARELLUS SP,,4.11E+14,GAMMSP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
GAMMAROPSIS SP,,4.11E+14,GAMMS1,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
GAMMARUS SP,,4.11E+14,GAMMS2,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
GAMMARUS ANNULATUS,,4.11E+14,GAMANN,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
GAMMARUS LAWRENCIANUS,,4.11E+14,GAMLAW,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
GAMMARUS MUCRONATUS,,4.11E+14,GAMMUC,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
MAERA SP,,4.11E+14,MAERSP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
MAERA DANAE,,4.11E+14,MAEDAN,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
MAERA LOVENI,,4.11E+14,MAELOV,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
MELITA SP,,4.11E+14,MELIS1,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
MELITA DENTATA,,4.11E+14,MELDEN,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
MELITA NITIDA,,4.11E+14,MELNIT,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
ELASMOPUS LAEVIS,,4.11E+14,ELALEV,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
HAUSTORIIDAE,,4.11E+14,HAUFAM,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
AMPHIPOREIA SP,,4.11E+14,AMPHS4,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
AMPHIPOREIA LAWRENCIANA,,4.11E+14,AMPLAW,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
AMPHIPOREIA VIRGINIANA,,4.11E+14,AMPVIR,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
AMPHIPOREIA GIGANTEA,,4.11E+14,AMPGIG,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
BATHYPOREIA SP,,4.11E+14,BATHS1,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
BATHYPOREIA QUODDYENSIS,,4.11E+14,BATQUO,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
BATHYPOREIA PARKERI,,4.11E+14,BATPAR,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
ACANTHOHAUSTORIUS SP,,4.11E+14,ACANSP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
ACANTHOHAUSTORIUS MILLSI,,4.11E+14,ACAMIL,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
ACANTHOHAUSTORIUS SPINOSUS,,4.11E+14,ACANS1,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PARAHAUSTORIUS SP,,4.11E+14,PARASP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PARAHAUSTORIUS ATTENUATUS,,4.11E+14,PARATT,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PARAHAUSTORIUS HOLMESI,,4.11E+14,PARHOL,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PARAHAUSTORIUS LONGIMERUS,,4.11E+14,PARLON,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PROTOHAUSTORIUS DEICHMANNAE,,4.11E+14,PRODEI,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PROTOHAUSTORIUS WIGLEYI,,4.11E+14,PROWIG,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PSEUDOHAUSTORIUS SP,,4.11E+14,PSEUS1,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PSEUDOHAUSTORIUS BOREALIS,,4.11E+14,PSEBOR,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PSEUDOHAUSTORIUS CAROLINIENSIS,,4.11E+14,PSECAR,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
HYPERIIDAE,,4.11E+14,HYPFAM,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,HYPFAM,HYPERIIDAE,HYPERIIDAE
HYPERIA SP,,4.11E+14,HYPESP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,HYPFAM,HYPERIIDAE,HYPERIIDAE
HYPERIA GALBA,,4.11E+14,HYPGAL,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,HYPFAM,HYPERIIDAE,HYPERIIDAE
HYPERIA MEDUSARUM,,4.11E+14,HYPMED,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,HYPFAM,HYPERIIDAE,HYPERIIDAE
HYPEROCHE SP,,4.11E+14,HYPES2,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,HYPFAM,HYPERIIDAE,HYPERIIDAE
HYPEROCHE MEDUSARUM,,4.11E+14,HYPME1,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,HYPFAM,HYPERIIDAE,HYPERIIDAE
PARATHEMISTO SP,,4.11E+14,PARAS6,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,HYPFAM,HYPERIIDAE,HYPERIIDAE
PARATHEMISTO COMPRESSA,,4.11E+14,PARCOM,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,HYPFAM,HYPERIIDAE,HYPERIIDAE
PARATHEMISTO GRACILIPES,,4.11E+14,PARGR1,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,HYPFAM,HYPERIIDAE,HYPERIIDAE
PHRONIMA SP,,4.11E+14,PHROSP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,HYPFAM,HYPERIIDAE,HYPERIIDAE
PHRONIMA SEDENTARIA,,4.11E+14,PHRSED,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,HYPFAM,HYPERIIDAE,HYPERIIDAE
VIBILIA SP,,4.11E+14,VIBISP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,HYPFAM,HYPERIIDAE,HYPERIIDAE
THEMISTO GAUDICHAUDII,,4.11E+14,THEGAU,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,HYPFAM,HYPERIIDAE,HYPERIIDAE
ISCHYROCERIDAE,,4.11E+14,ISCFAM,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
ISCHYROCERUS SP,,4.11E+14,ISCHSP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
ISCHYROCERUS ANGUIPES,,4.11E+14,ISCANG,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
JASSA FALCATA,,4.11E+14,JASFAL,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
LILJEBORGIIDAE,,4.11E+14,LILFAM,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
LYSIANASSIDAE,,4.11E+14,LYSFAM,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
ANONYX SP,,4.11E+14,ANONSP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
ANONYX LILLJEBORGI,,4.11E+14,ANOLIL,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
ANONYX SARSI,,4.11E+14,ANOSAR,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
HIPPOMEDON SP,,4.11E+14,HIPPS2,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
HIPPOMEDON PROPINQUUS,,4.11E+14,HIPPRO,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
HIPPOMEDON SERRATUS,,4.11E+14,HIPSER,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
HIPPOMEDON DENTICULATUS,,4.11E+14,HIPDEN,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
ORCHOMENELLA SP,,4.11E+14,ORCHSP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
ORCHOMENELLA GROENLANDICA,,4.11E+14,ORCGRO,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
ORCHOMENELLA MINUTA,,4.11E+14,ORCMIN,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
ORCHOMENELLA PINGUIS,,4.11E+14,ORCPIN,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
LYSIANOPSIS ALBA,,4.11E+14,LYSALB,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PSAMMONYX SP,,4.11E+14,PSAMSP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PSAMMONYX NOBILIS,,4.11E+14,PSANOB,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
MELPHIDIPPIDAE,,4.11E+14,MELFAM,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
MELPHIDIPPA SP,,4.11E+14,MELPSP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
OEDICEROTIDAE,,4.11E+14,OEDFAM,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
MONOCULODES SP,,4.11E+14,MONOSP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
MONOCULODES EDWARDSI,,4.11E+14,MONEDW,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
MONOCULODES BOREALIS,,4.11E+14,MONBOR,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
MONOCULODES TESSELATUS,,4.11E+14,MONTES,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
MONOCULODES INTERMEDIUS,,4.11E+14,MONINT,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PAROEDICEROS SP,,4.11E+14,PAROSP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PAROEDICEROS LYNCEUS,,4.11E+14,PARLYN,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
SYNCHELIDIUM SP,,4.11E+14,SYNCSP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
SYNCHELIDIUM AMERICANUM,,4.11E+14,SYNAME,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
BATHYMEDON OBTUSIFRONS,,4.11E+14,BATOBT,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
WESTWOODILLA SP,,4.11E+14,WESTSP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
ARRHIS PHYLLONYX,,4.11E+14,ARRPHY,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
EPIMERIA LORICATA,,4.11E+14,EPILOR,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PARAMPHITHOE SP,,4.11E+14,PARAS3,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PARDALISCIDAE,,4.11E+14,PARFA1,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PHOTIDAE,,4.11E+14,PHOFAM,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PHOTIS SP,,4.11E+14,PHOTSP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PHOTIS DENTATA,,4.11E+14,PHODEN,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PHOTIS MACROCOXA,,4.11E+14,PHOMAC,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PHOTIS REINHARDI,,4.11E+14,PHOREI,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PODOCEROPSIS SP,,4.11E+14,PODOSP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PODOCEROPSIS NITIDA,,4.11E+14,PODNIT,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
MICROPROTOPUS SP,,4.11E+14,MICRS2,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PHOXOCEPHALIDAE,,4.11E+14,PHOFA2,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
HARPINIA SP,,4.11E+14,HARPSP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
HARPINIA PLUMOSA,,4.11E+14,HARPLU,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
HARPINIA PROPINQUA,,4.11E+14,HARPRO,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
EOBROLGUS SPINOSUS,,4.11E+14,EOBRSP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PHOXOCEPHALUS SP,,4.11E+14,PHOXSP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PHOXOCEPHALUS HOLBOLLI,,4.11E+14,PHOHOL,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
TRICHOPHOXUS EPISTOMUS,,4.11E+14,TRIEPI,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
RHEPOXYNIUS SP,,4.11E+14,RHEPSP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
RHEPOXYNIUS EPISTOMUS,,4.11E+14,RHEEPI,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PLEUSTIDAE,,4.11E+14,PLEFA1,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
NEOPLEUSTES PULCHELLUS,,4.11E+14,NEOPUL,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PLEUSTES PANOPLUS,,4.11E+14,PLEPAN,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
STENOPLEUSTES SP,,4.11E+14,STENSP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
STENOPLEUSTES GRACILIS,,4.11E+14,STEGRA,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
STENOPLEUSTES INERMIS,,4.11E+14,STEINE,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PLEUSYMTES GLABER,,4.11E+14,PLEGLA,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PODOCERIDAE,,4.11E+14,PODFAM,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
DULICHIA SP,,4.11E+14,DULISP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
DULICHIA MONACANTHA,,4.11E+14,DULMON,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
DULICHIA PORRECTA,,4.11E+14,DULPOR,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PONTOGENEIA SP,,4.11E+14,PONSP2,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PONTOGENEIA INERMIS,,4.11E+14,PONINE,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
STEGOCEPHALUS INFLATUS,,4.11E+14,STEINF,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
STENOTHOIDAE,,4.11E+14,STEFAM,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
STENOTHOE SP,,4.11E+14,STENS1,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
STENOTHOE MINUTA,,4.11E+14,STEMIN,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PROBOLOIDES SP,,4.11E+14,PROBSP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
PROBOLOIDES HOLMESI,,4.11E+14,PROHOL,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
METOPELLA SP,,4.11E+14,METOSP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
METOPELLA ANGUSTA,,4.11E+14,METANG,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
STENULA SP,,4.11E+14,STENS3,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIPODA,GAMMAR,GAMMARIDEA,GAMMARIDEA
