,time,bt
163,2006-08-01,7.618742884562869
164,2006-09-01,7.852716358058448
165,2006-10-01,8.080552749258638
166,2006-11-01,8.271745738035403
167,2006-12-01,8.182216935029434
168,2007-01-01,7.998493233576077
169,2007-02-01,7.504343587172451
170,2007-03-01,7.079688195609651
171,2007-04-01,6.708929630046552
172,2007-05-01,6.083426813161151
173,2007-06-01,6.1968442105358434
174,2007-07-01,6.371187922377024
175,2007-08-01,6.528862847551302
176,2007-09-01,6.7344544753278015
177,2007-10-01,6.792102232729673
178,2007-11-01,7.010168181689877
179,2007-12-01,6.9810243245237364
180,2008-01-01,6.805636532805227
181,2008-02-01,6.684187269358901
182,2008-03-01,6.545621102887898
183,2008-04-01,6.349262370085865
184,2008-05-01,6.187303484843631
185,2008-06-01,6.250155689306634
