"Group","Type","Biomass","PB","QB","EE","ProdCons","BioAcc","Unassim","DetInput","Detritus","Discards","Fixed Gear","HMS Fleet","LG Mesh","Scallop Dredge","Trap","Other Dredge","Other","Pelagic","SM Mesh","Clam Dredge","Fixed Gear.disc","HMS Fleet.disc","LG Mesh.disc","Scallop Dredge.disc","Trap.disc","Other Dredge.disc","Other.disc","Pelagic.disc","SM Mesh.disc","Clam Dredge.disc"
"SpinyDogfish",0,1.45231320852436,0.32,2.32,NA,NA,0.167912435195861,0.2,NA,1,0,0.0103789235555876,0.00202663614610357,0.0152573604439675,0,0,0,0,0,0.0347403908705382,0,0.00240787609221906,0.000543766341800552,0.00110630796903121,0,0,0,0,0,0.00149328511629283,0
"Redfish",0,0.436304490743707,0.3,3,NA,NA,0.0379976567962471,0.2,NA,1,0,0.000376108463284559,1.46205177995146e-06,0.0400718106143187,0,0,0,4.24091840807112e-06,0,0.0199347201891553,0,0,0,0,0,0,0,0,0,0,0
"LittleSkate",0,0.0534639746346446,0.3,0.83,NA,NA,0,0.2,NA,1,0,7.87973253937693e-06,2.11762263861995e-08,0.000108441309641431,0,0,0,2.54307120115232e-08,0,0.000676495429117988,0,0,0,0,0,0,0,0,0,0,0
"SeaBirds",0,0.0035,0.28,5.36,NA,NA,0,0.2,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Windowpane",0,0.00813249077823082,0.25,0.9,NA,NA,0,0.2,NA,1,0,3.04707082881274e-06,2.32379090853212e-07,0.000496814877289625,0,0,3.48568636279818e-07,0,0,0.000896768340034359,0,0,0,0,0,0,0,0,0,0,0
"WinterFlounder",0,0.0985464535278506,0.17,0.92,NA,NA,0,0.2,NA,1,0,0.000415613876975817,0.000190665107552637,0.0127422440839662,0,0,4.38615533985438e-06,6.56470931660324e-06,0,0.0208519741984177,0,0,0,0,0,0,0,0,0,0,0
"WitchFlounder",0,0.172655644738672,0.16,0.92,NA,NA,0,0.2,NA,1,0,9.41241825038816e-05,7.88927013446655e-07,0.0242418758364586,0,0,0,5.11233999877066e-06,0,0.0303275148399744,0,0,0,0,0,0,0,0,0,6.10441853604275e-05,0
"BlackSeaBass",0,0.00174607132740438,0.15,0.83,NA,NA,0,0.2,NA,1,0,9.26960193413462e-06,2.61426477209863e-07,6.46497995677873e-06,0,0,0,0,0,2.45000180225177e-05,0,0,0,0,0,0,0,0,0,0,0
"Butterfish",0,0.0173137758279711,1.312,4.23,NA,NA,0,0.2,NA,1,0,2.27247385930203e-05,1.07475329519611e-06,0.000314929826386392,0,0,0,0,4.35710795349772e-07,0.000359343764248818,0,0,0,0,0,0,0,0,0,0,0
"Sharks",0,0.00296,0.15,0.62,NA,NA,0,0.2,NA,1,0,0.000314274323700943,6.28779090000316e-06,0.000406666313731757,0,0,0,0,0,1.78409047002553e-05,0,0,0,0,0,0,0,0,0,0,0
"WinterSkate",0,0.123794996099367,0.14,0.83,NA,NA,0,0.2,NA,1,0,2.94806892467217e-05,1.52011077159072e-07,0.000156398069799039,0,0,0,0,0,0.000993909433032368,0,0,0,0,0,0,0,0,0,0,0
"Pinnipeds",0,0.063,0.07,4.85,NA,NA,0,0.2,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BaleenWhales",0,0.602,0.04,2.3,NA,NA,0,0.2,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Odontocetes",0,0.0336,0.04,8.5,NA,NA,0,0.2,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megabenthos",0,6.26197676755952,1.91,5.53,NA,NA,0,0.2,NA,1,0,2.0333170449656e-07,0,0,0,0.0119291302801466,0.0168390409798902,0,0,0,0,0,0,0,0,0.000534841942159603,0.000102054793817516,0,0,0,0
"Detritus",2,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Discards",2,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fixed Gear",3,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HMS Fleet",3,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LG Mesh",3,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scallop Dredge",3,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trap",3,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Other Dredge",3,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Other",3,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pelagic",3,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SM Mesh",3,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clam Dredge",3,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
