,Group,Year,Stdev,Value,Type,Scale
268,Butterfish,1996,0.000799738,0.007319256,absolute,1
269,Butterfish,1997,0.00110459,1.538432517,absolute,1
270,Butterfish,1998,0.006381381,0.043911255,absolute,1
271,Butterfish,1999,0.000831491,0.029790654,absolute,1
272,Butterfish,2000,0.00941076,0.16445172,absolute,1
273,Butterfish,2001,0.004942308,0.073287145,absolute,1
274,Butterfish,2002,0.070447835,0.389726041,absolute,1
275,Butterfish,2003,0.01039255,0.189826516,absolute,1
276,Butterfish,2004,0.023907701,0.098219873,absolute,1
277,Butterfish,2005,0.000510625,0.004689546,absolute,1
278,Butterfish,2006,0.011398331,0.341962552,absolute,1
279,Butterfish,2007,0.007903261,0.154734514,absolute,1
280,Butterfish,2008,0.00556669,0.032804423,absolute,1
281,Butterfish,2009,0.010574517,0.194909443,absolute,1
282,Butterfish,2010,0.010515658,0.07021464,absolute,1
283,Butterfish,2011,0.026656574,0.170218277,absolute,1
284,Butterfish,2012,0.013837588,0.128435068,absolute,1
285,Butterfish,2013,0.002693514,0.030420838,absolute,1
286,Butterfish,2014,0.018839597,0.181374916,absolute,1
287,Butterfish,2015,0.020015402,0.224411932,absolute,1
288,Butterfish,2016,0.020245541,0.143309328,absolute,1
289,Butterfish,2017,0.005226546,0.073489103,absolute,1
290,Butterfish,2018,0.027115574,0.204542846,absolute,1
291,Butterfish,2019,0.002805834,0.030502005,absolute,1
292,Cod,1985,0.470747672,0.638652033,absolute,1
293,Cod,1986,0.192021555,0.428876804,absolute,1
294,Cod,1987,0.129875335,0.29391398,absolute,1
295,Cod,1988,0.28285318,0.599816339,absolute,1
296,Cod,1989,0.12853423,0.356844896,absolute,1
297,Cod,1990,0.175180443,0.483876467,absolute,1
298,Cod,1991,0.117948141,0.232899321,absolute,1
299,Cod,1992,0.10134977,0.219551511,absolute,1
300,Cod,1993,0.070463997,0.121604358,absolute,1
301,Cod,1994,0.136732252,0.271912114,absolute,1
302,Cod,1995,0.349617696,0.4199351,absolute,1
303,Cod,1996,0.114049897,0.245678631,absolute,1
304,Cod,1997,0.100407837,0.19902385,absolute,1
305,Cod,1998,0.068765815,0.136170134,absolute,1
306,Cod,1999,0.183439644,0.409675877,absolute,1
307,Cod,2000,0.246880427,0.367765597,absolute,1
308,Cod,2001,0.32790661,0.614800376,absolute,1
309,Cod,2002,2.955866412,1.773190906,absolute,1
310,Cod,2003,0.237513618,0.494529145,absolute,1
311,Cod,2004,0.170287774,0.378307339,absolute,1
312,Cod,2005,0.10892759,0.24334874,absolute,1
313,Cod,2006,0.136284943,0.351232014,absolute,1
314,Cod,2007,0.125759552,0.228059435,absolute,1
315,Cod,2008,0.253032141,0.448935078,absolute,1
316,Cod,2009,0.416781921,0.556383161,absolute,1
317,Cod,2010,0.14790755,0.258922592,absolute,1
318,Cod,2011,0.143456919,0.216508537,absolute,1
319,Cod,2012,0.053560728,0.135136641,absolute,1
320,Cod,2013,0.053332141,0.109262538,absolute,1
321,Cod,2014,0.174777772,0.225748199,absolute,1
322,Cod,2015,0.203479991,0.246760639,absolute,1
323,Cod,2016,0.33444675,0.337741073,absolute,1
324,Cod,2017,0.159424261,0.258389174,absolute,1
325,Cod,2018,0.067581793,0.103158773,absolute,1
326,Cod,2019,0.038171463,0.041303697,absolute,1
327,Cusk,1985,0.092151735,0.323915321,absolute,1
328,Cusk,1986,0.066973653,0.231234254,absolute,1
329,Cusk,1987,0.039198452,0.099345173,absolute,1
330,Cusk,1988,0.047196443,0.152318987,absolute,1
331,Cusk,1989,0.038271734,0.06816802,absolute,1
332,Cusk,1990,0.025602531,0.061136186,absolute,1
333,Cusk,1991,0.028570715,0.080539448,absolute,1
334,Cusk,1992,0.013419714,0.027466014,absolute,1
335,Cusk,1993,0.032040155,0.075935929,absolute,1
336,Cusk,1994,0.013880637,0.020969885,absolute,1
337,Cusk,1995,0.014685174,0.018217817,absolute,1
338,Cusk,1996,0.026784902,0.064754068,absolute,1
339,Cusk,1997,0.040986859,0.107753348,absolute,1
340,Cusk,1998,0.007394422,0.008622607,absolute,1
341,Cusk,1999,0.011122693,0.030041225,absolute,1
342,Cusk,2000,0.008071253,0.012799356,absolute,1
343,Cusk,2001,0.01089478,0.028118238,absolute,1
344,Cusk,2002,0.036051472,0.053657862,absolute,1
345,Cusk,2003,0.033029815,0.058730896,absolute,1
346,Cusk,2004,0.012268368,0.025971908,absolute,1
347,Cusk,2005,0.00871239,0.018014129,absolute,1
348,Cusk,2006,0.009829784,0.019339789,absolute,1
349,Cusk,2007,0.001633188,0.001633188,absolute,1
350,Cusk,2008,0.007595738,0.017228162,absolute,1
351,Cusk,2009,0.008440011,0.014525772,absolute,1
352,Cusk,2010,0.018984071,0.038294396,absolute,1
353,Cusk,2011,0.003965651,0.005689005,absolute,1
354,Cusk,2012,0.006970603,0.012070001,absolute,1
355,Cusk,2013,0.000816692,0.001152673,absolute,1
356,Cusk,2014,0.028477299,0.06210765,absolute,1
357,Cusk,2015,0.015075343,0.020383352,absolute,1
358,Cusk,2016,0.005000431,0.00867614,absolute,1
359,Cusk,2017,0.022598615,0.037066184,absolute,1
360,Cusk,2018,0.011288098,0.01587977,absolute,1
361,Cusk,2019,0.00603676,0.010808499,absolute,1
362,Fourspot,1985,0.001080456,0.009781504,absolute,1
363,Fourspot,1986,0.004390237,0.008821742,absolute,1
364,Fourspot,1987,0.000615323,0.001642681,absolute,1
365,Fourspot,1988,0.004420019,0.009064607,absolute,1
366,Fourspot,1989,0.00074171,0.001157002,absolute,1
367,Fourspot,1990,0.000831809,0.003672949,absolute,1
368,Fourspot,1991,0.001232879,0.004955185,absolute,1
369,Fourspot,1992,0.0073762,0.016505446,absolute,1
370,Fourspot,1993,0.005106493,0.006771296,absolute,1
371,Fourspot,1994,0.001040822,0.003281102,absolute,1
372,Fourspot,1995,0.000379974,0.000701754,absolute,1
373,Fourspot,1996,0.003071622,0.008238682,absolute,1
374,Fourspot,1997,0.002235984,0.005353971,absolute,1
375,Fourspot,1998,0.001518919,0.00330515,absolute,1
376,Fourspot,1999,0.001414237,0.00412718,absolute,1
377,Fourspot,2000,0.003243218,0.007383116,absolute,1
378,Fourspot,2001,0.002332974,0.004766318,absolute,1
379,Fourspot,2002,0.007815297,0.011595146,absolute,1
380,Fourspot,2003,0.000679123,0.003096543,absolute,1
381,Fourspot,2004,0.001211248,0.002482896,absolute,1
382,Fourspot,2005,0.000721433,0.003948115,absolute,1
383,Fourspot,2006,0.00090111,0.003671511,absolute,1
384,Fourspot,2007,0.001155338,0.003956123,absolute,1
385,Fourspot,2008,0.001415216,0.003430594,absolute,1
386,Fourspot,2009,0.002651777,0.00715586,absolute,1
387,Fourspot,2010,0.00111976,0.004328563,absolute,1
388,Fourspot,2011,0.003619294,0.012551719,absolute,1
389,Fourspot,2012,0.002756624,0.006935546,absolute,1
390,Fourspot,2013,0.001040633,0.003760009,absolute,1
391,Fourspot,2014,0.002173226,0.009093912,absolute,1
392,Fourspot,2015,0.001784708,0.007061064,absolute,1
393,Fourspot,2016,0.001302446,0.005153896,absolute,1
394,Fourspot,2017,0.004889372,0.013793223,absolute,1
395,Fourspot,2018,0.001121332,0.003872715,absolute,1
396,Fourspot,2019,0.00140122,0.006486152,absolute,1
397,Goosefish,1985,0.081588812,0.208154674,absolute,1
398,Goosefish,1986,0.079708607,0.334827471,absolute,1
399,Goosefish,1987,0.047012773,0.136332448,absolute,1
400,Goosefish,1988,0.082841278,0.237526833,absolute,1
401,Goosefish,1989,0.059285883,0.19003773,absolute,1
402,Goosefish,1990,0.041249363,0.129124089,absolute,1
403,Goosefish,1991,0.046266817,0.175515409,absolute,1
404,Goosefish,1992,0.039650316,0.143085975,absolute,1
405,Goosefish,1993,0.062206724,0.1467518,absolute,1
406,Goosefish,1994,0.020473856,0.097515234,absolute,1
407,Goosefish,1995,0.058516305,0.224804071,absolute,1
408,Goosefish,1996,0.033535085,0.129137554,absolute,1
409,Goosefish,1997,0.024529647,0.090244429,absolute,1
410,Goosefish,1998,0.029439595,0.116470184,absolute,1
411,Goosefish,1999,0.025601804,0.104176346,absolute,1
412,Goosefish,2000,0.076767066,0.329069045,absolute,1
413,Goosefish,2001,0.046499102,0.25748354,absolute,1
414,Goosefish,2002,0.042748505,0.202881,absolute,1
415,Goosefish,2003,0.051328512,0.24512124,absolute,1
416,Goosefish,2004,0.027406547,0.086376242,absolute,1
417,Goosefish,2005,0.034230234,0.113790108,absolute,1
418,Goosefish,2006,0.039277056,0.15174458,absolute,1
419,Goosefish,2007,0.045778285,0.134988132,absolute,1
420,Goosefish,2008,0.045848362,0.14126085,absolute,1
421,Goosefish,2009,0.011784535,0.0636284,absolute,1
422,Goosefish,2010,0.0124812,0.074959021,absolute,1
423,Goosefish,2011,0.018961009,0.107629403,absolute,1
424,Goosefish,2012,0.01308688,0.097424125,absolute,1
425,Goosefish,2013,0.010592582,0.083050576,absolute,1
426,Goosefish,2014,0.011955473,0.10191349,absolute,1
427,Goosefish,2015,0.018437801,0.146002201,absolute,1
428,Goosefish,2016,0.023700894,0.184603107,absolute,1
429,Goosefish,2017,0.020355218,0.205626628,absolute,1
430,Goosefish,2018,0.020752065,0.247679582,absolute,1
431,Goosefish,2019,0.019991013,0.187362094,absolute,1
432,Haddock,1985,0.159149847,0.64633062,absolute,1
433,Haddock,1986,0.076735544,0.365340888,absolute,1
434,Haddock,1987,0.134372515,0.418328154,absolute,1
435,Haddock,1988,0.097380966,0.164712571,absolute,1
436,Haddock,1989,0.150434405,0.348032831,absolute,1
437,Haddock,1990,0.048180357,0.124669343,absolute,1
438,Haddock,1991,0.02383804,0.052029082,absolute,1
439,Haddock,1992,0.104511544,0.203825204,absolute,1
440,Haddock,1993,0.042496947,0.079777096,absolute,1
441,Haddock,1994,0.140994531,0.224103443,absolute,1
442,Haddock,1995,0.181492839,0.298360471,absolute,1
443,Haddock,1996,0.145783469,0.401046997,absolute,1
444,Haddock,1997,0.095181729,0.435869115,absolute,1
445,Haddock,1998,0.115517722,0.33290475,absolute,1
446,Haddock,1999,1.452817385,3.023686979,absolute,1
447,Haddock,2000,0.796863038,1.902225226,absolute,1
448,Haddock,2001,0.746687877,2.128291611,absolute,1
449,Haddock,2002,0.177912349,0.678617725,absolute,1
450,Haddock,2003,0.88224958,1.729127377,absolute,1
451,Haddock,2004,1.101119509,2.250382794,absolute,1
452,Haddock,2005,0.875101489,3.031860698,absolute,1
453,Haddock,2006,0.799003307,2.670750051,absolute,1
454,Haddock,2007,1.450907345,3.156362572,absolute,1
455,Haddock,2008,0.504242697,1.174997382,absolute,1
456,Haddock,2009,0.660866847,1.479485261,absolute,1
457,Haddock,2010,0.25676475,0.921861769,absolute,1
458,Haddock,2011,0.506809562,1.388806248,absolute,1
459,Haddock,2012,0.619148409,1.818309942,absolute,1
460,Haddock,2013,1.973036144,5.399754965,absolute,1
461,Haddock,2014,1.976716713,6.670452522,absolute,1
462,Haddock,2015,1.173165311,6.161582323,absolute,1
463,Haddock,2016,2.149968171,12.08982861,absolute,1
464,Haddock,2017,1.398981851,6.207244629,absolute,1
465,Haddock,2018,0.747079732,5.712824395,absolute,1
466,Haddock,2019,0.959371315,3.552678235,absolute,1
467,Illex,1985,0.022590125,0.074801732,absolute,1
468,Illex,1986,0.012025144,0.027485437,absolute,1
469,Illex,1987,0.011656129,0.044346809,absolute,1
470,Illex,1988,0.072206306,0.23599445,absolute,1
471,Illex,1989,0.027248105,0.111584247,absolute,1
472,Illex,1990,0.040223324,0.226444543,absolute,1
473,Illex,1991,0.019912741,0.058872005,absolute,1
474,Illex,1992,0.007558654,0.03520637,absolute,1
